"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.10.404";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"10157.59";"";"3089";"1.12";"1.19";"0.06";"33.86";"0.88";"0.0";"1882.33";"0.91";"5.4";"0.97";"62.98";"51.05";"15.84";"12.52";"14.1";"9.16";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.413";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"7082.22";"";"2157";"1.14";"1.11";"0.06";"23.61";"0.79";"0.0";"1286.79";"1.23";"5.5";"0.88";"48.29";"52.1";"13.87";"13.29";"13.61";"10.29";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.3.487";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"7269.32";"";"1191";"1.19";"1.08";"0.12";"24.23";"0.81";"0.0";"1634.73";"0.62";"4.45";"0.87";"99.03";"51.34";"19.37";"13.11";"15.5";"3.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.4.397";"PASSED";"0.88";"NDXm_TICK_UTCPlus02";"M15";"9457.21";"";"824";"1.38";"1.63";"0.22";"31.52";"0.89";"0.0";"999.45";"0.72";"9.46";"1.2";"98.55";"51.55";"24.09";"15.36";"19.03";"2.9";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.4.403";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"4083.91";"";"592";"1.24";"0.92";"0.14";"13.61";"0.82";"0.0";"1074.05";"0.74";"3.8";"0.85";"84.12";"50.33";"20.57";"15.24";"17.51";"0.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.4.496";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"3532.7";"";"670";"1.23";"1.0";"0.1";"11.78";"0.85";"0.0";"633.47";"1.2";"5.58";"0.88";"52.1";"51.1";"13.62";"14.96";"14.23";"1.43";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.5.538";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"4701.56";"";"1132";"1.18";"1.08";"0.08";"15.67";"0.76";"0.0";"1498.89";"1.19";"3.14";"0.77";"49.99";"50.57";"22.43";"19.4";"21.05";"4.54";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.5.551";"PASSED";"0.67";"NDXm_TICK_UTCPlus02";"M15";"4325.33";"";"1784";"1.1";"0.73";"0.05";"14.42";"0.78";"0.0";"1933.87";"1.05";"2.24";"0.52";"52.97";"50.68";"16.72";"14.9";"15.83";"4.66";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.6.321";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"6112.89";"";"2219";"1.1";"0.89";"0.05";"20.38";"0.83";"0.0";"1335.25";"0.9";"4.58";"0.59";"62.06";"50.8";"27.85";"20.95";"24.22";"11.22";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.6.377";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"9053.35";"";"1698";"1.22";"1.5";"0.1";"30.18";"0.9";"0.0";"1285.71";"1.11";"7.04";"1.25";"57.04";"52.16";"28.07";"23.57";"25.94";"13.19";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
