"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.3.386";"PASSED";"0.52";"NDXm_TICK_UTCPlus02";"M15";"1191.2";"";"905";"1.06";"0.34";"0.03";"3.97";"0.56";"0.0";"1299.92";"1.45";"0.92";"0.15";"37.81";"51.69";"18.11";"20.0";"18.88";"3.45";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.524";"PASSED";"0.57";"NDXm_TICK_UTCPlus02";"M15";"3902.69";"";"1897";"1.06";"0.48";"0.04";"13.01";"0.76";"0.0";"3107.73";"0.59";"1.26";"0.27";"94.06";"51.87";"28.45";"16.86";"21.14";"8.49";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.4.308";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"3123.88";"";"525";"1.18";"0.7";"0.12";"10.41";"0.8";"0.0";"827.8";"0.6";"3.77";"0.53";"101.76";"51.6";"26.33";"16.24";"20.03";"2.44";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.4.420";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"6139.41";"";"1651";"1.12";"0.83";"0.07";"20.46";"0.76";"0.0";"2510.91";"0.65";"2.45";"0.34";"89.7";"52.4";"20.58";"13.64";"16.38";"5.5";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.5.423";"PASSED";"0.68";"NDXm_TICK_UTCPlus02";"M15";"2858.56";"";"1112";"1.1";"0.61";"0.05";"9.53";"0.7";"0.0";"1206.89";"1.06";"2.37";"0.42";"53.95";"52.04";"16.7";"15.62";"16.18";"3.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.5.463";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"6501.3";"";"1656";"1.12";"0.87";"0.08";"21.67";"0.66";"0.0";"2554.32";"0.66";"2.55";"0.34";"89.5";"52.35";"21.04";"13.67";"16.59";"5.59";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.5.513";"PASSED";"0.6";"NDXm_TICK_UTCPlus02";"M15";"3480.45";"";"1280";"1.1";"0.63";"0.05";"11.6";"0.8";"0.0";"2299.83";"0.85";"1.51";"0.22";"66.77";"51.88";"32.31";"25.48";"28.62";"8.11";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.6.345";"PASSED";"0.62";"NDXm_TICK_UTCPlus02";"M15";"3306.49";"";"1314";"1.09";"0.57";"0.05";"11.02";"0.7";"0.0";"2009.42";"0.8";"1.65";"0.23";"70.32";"51.56";"13.69";"10.35";"11.83";"2.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.6.419";"PASSED";"0.66";"NDXm_TICK_UTCPlus02";"M15";"3754.03";"";"1367";"1.1";"0.69";"0.05";"12.51";"0.72";"0.0";"1760.59";"0.96";"2.13";"0.29";"59.35";"51.66";"16.46";"12.48";"14.43";"3.78";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.6.424";"PASSED";"0.64";"NDXm_TICK_UTCPlus02";"M15";"2608.58";"";"1129";"1.09";"0.56";"0.04";"8.7";"0.77";"0.0";"1385.14";"1.13";"1.88";"0.38";"50.34";"51.97";"24.56";"24.8";"24.67";"4.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.6.430";"PASSED";"0.63";"NDXm_TICK_UTCPlus02";"M15";"2078.79";"";"753";"1.1";"0.49";"0.05";"6.93";"0.87";"0.0";"1138.78";"0.83";"1.83";"0.34";"67.58";"51.17";"51.75";"45.2";"48.18";"6.76";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
