"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.7.554";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"11558.47";"";"2501";"1.14";"1.19";"0.09";"38.53";"0.9";"0.0";"1678.11";"0.61";"6.89";"0.92";"97.62";"52.34";"31.86";"19.24";"24.03";"18.66";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.7.566";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"8905.09";"";"2940";"1.12";"1.15";"0.06";"29.68";"0.88";"0.0";"1341.99";"1.01";"6.64";"0.82";"56.63";"51.01";"23.45";"20.3";"21.88";"11.43";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.300";"PASSED";"0.89";"NDXm_TICK_UTCPlus02";"M15";"7372.57";"";"611";"1.43";"1.57";"0.23";"24.58";"0.88";"0.0";"700.99";"0.85";"10.52";"1.68";"87.3";"51.57";"21.04";"17.04";"18.87";"1.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.307";"PASSED";"0.86";"NDXm_TICK_UTCPlus02";"M15";"5828.24";"";"1437";"1.19";"1.24";"0.08";"19.43";"0.87";"0.0";"745.67";"1.43";"7.82";"1.06";"43.42";"52.13";"25.41";"26.88";"26.02";"12.1";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.321";"PASSED";"0.88";"NDXm_TICK_UTCPlus02";"M15";"12495.28";"";"2378";"1.18";"1.47";"0.1";"41.65";"0.88";"0.0";"1228.86";"0.72";"10.17";"1.13";"84.43";"51.41";"22.6";"15.68";"18.57";"8.28";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.336";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"10865.24";"";"2511";"1.16";"1.39";"0.08";"36.22";"0.9";"0.0";"1281.25";"0.93";"8.48";"1.05";"64.26";"51.51";"16.11";"13.47";"14.74";"10.8";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.346";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"10273.91";"";"2133";"1.16";"1.26";"0.09";"34.25";"0.84";"0.0";"1619.68";"0.73";"6.34";"0.92";"82.75";"52.07";"33.83";"21.99";"26.99";"16.81";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.378";"PASSED";"0.92";"NDXm_TICK_UTCPlus02";"M15";"12091.27";"";"1091";"1.38";"1.92";"0.22";"40.3";"0.92";"0.0";"751.01";"0.74";"16.1";"2.17";"95.71";"51.31";"14.77";"10.87";"12.52";"2.52";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.428";"PASSED";"0.91";"NDXm_TICK_UTCPlus02";"M15";"13925.1";"";"1831";"1.26";"1.79";"0.15";"46.42";"0.87";"0.0";"1052.28";"0.79";"13.23";"1.84";"83.55";"52.24";"24.62";"15.62";"19.59";"10.88";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.461";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"8738.93";"";"3537";"1.12";"1.22";"0.05";"29.13";"0.86";"0.0";"1299.46";"1.41";"6.73";"0.77";"40.35";"50.79";"16.27";"15.79";"16.07";"12.65";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
