"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.9.411(1)";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"6644.18";"";"2047";"1.12";"0.98";"0.06";"22.15";"0.9";"0.0";"1262.18";"0.92";"5.26";"0.69";"62.11";"50.92";"27.63";"20.75";"24.05";"10.63";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.1.428";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"6326.33";"";"966";"1.22";"1.11";"0.13";"21.09";"0.81";"0.0";"1578.92";"0.7";"4.01";"0.68";"88.49";"51.11";"19.17";"14.69";"16.54";"2.35";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.342(1)";"PASSED";"0.86";"NDXm_TICK_UTCPlus02";"M15";"11902.55";"";"2930";"1.14";"1.29";"0.08";"39.68";"0.9";"0.0";"1455.5";"0.79";"8.18";"0.91";"74.08";"51.47";"28.9";"21.71";"24.89";"15.34";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.3.342";"PASSED";"0.89";"NDXm_TICK_UTCPlus02";"M15";"8488.72";"";"1567";"1.2";"1.44";"0.11";"28.3";"0.78";"0.0";"815.81";"0.93";"10.41";"1.32";"66.46";"51.34";"16.46";"13.2";"14.77";"4.5";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.356";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"7658.09";"";"1911";"1.19";"1.4";"0.08";"25.53";"0.87";"0.0";"1374.11";"1.51";"5.57";"0.68";"40.82";"51.62";"14.06";"14.17";"14.1";"10.34";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.379";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"3669.25";"";"698";"1.18";"0.82";"0.1";"12.23";"0.87";"0.0";"1037.59";"0.75";"3.54";"0.52";"79.79";"50.6";"26.92";"18.31";"22.0";"2.69";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.9.531";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"8118.65";"";"1586";"1.16";"1.08";"0.1";"27.06";"0.88";"0.0";"1380.25";"0.63";"5.88";"0.86";"96.69";"52.73";"41.61";"26.33";"32.25";"16.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.1.511";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"4096.98";"";"520";"1.34";"1.26";"0.16";"13.66";"0.87";"0.0";"579.53";"1.16";"7.07";"0.94";"57.99";"50.14";"11.37";"10.21";"10.83";"0.55";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.10.473";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"9340.0";"";"2308";"1.13";"1.12";"0.08";"31.13";"0.92";"0.0";"1425.42";"0.66";"6.55";"0.85";"85.7";"50.17";"27.48";"19.71";"22.81";"1.76";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.10.503(1)";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"5120.16";"";"1341";"1.18";"1.12";"0.07";"17.07";"0.81";"0.0";"770.22";"1.38";"6.65";"0.86";"44.08";"51.81";"21.21";"21.98";"21.53";"8.91";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.10.542";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"9109.07";"";"3372";"1.13";"1.29";"0.05";"30.37";"0.87";"0.0";"2109.2";"1.43";"4.32";"1.08";"39.96";"50.49";"10.39";"10.31";"10.36";"6.68";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.11.488";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"5849.54";"";"991";"1.24";"1.23";"0.11";"19.5";"0.83";"0.0";"969.63";"1.11";"6.03";"0.83";"58.03";"51.88";"12.83";"10.75";"11.84";"5.38";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.2.454(1)";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"6353.71";"";"1292";"1.23";"1.37";"0.1";"21.18";"0.88";"0.0";"921.71";"1.43";"6.89";"0.83";"44.09";"51.22";"12.88";"12.94";"12.9";"3.99";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.5.548";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"7062.71";"";"1288";"1.19";"1.19";"0.11";"23.54";"0.9";"0.0";"1070.79";"0.78";"6.6";"0.93";"77.52";"50.64";"13.25";"9.12";"10.93";"1.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.9.359";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"4075.15";"";"747";"1.18";"0.84";"0.11";"13.58";"0.83";"0.0";"1051.38";"0.65";"3.88";"0.62";"90.81";"50.25";"13.98";"9.66";"11.36";"0.42";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.9.379";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"4495.07";"";"716";"1.22";"0.97";"0.12";"14.98";"0.86";"0.0";"1052.02";"0.79";"4.27";"0.72";"79.26";"51.38";"20.73";"14.57";"17.29";"0.88";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 4.9.416(1)";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"7437.3";"";"2004";"1.16";"1.26";"0.07";"24.79";"0.79";"0.0";"1227.75";"1.22";"6.06";"0.95";"48.58";"51.11";"27.25";"27.0";"27.14";"11.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
