"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.10.449";"";"0.84";"NDXm_TICK_UTCPlus02";"M15";"2616.62";"";"2381";"1.14";"1.34";"0.07";"65.41";"0.83";"0.0";"386.61";"0.85";"6.77";"1.29";"20.01";"15.03";"23.64";"18.29";"20.75";"14.94";"0.84";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.512";"";"0.78";"NDXm_TICK_UTCPlus02";"M15";"588.58";"";"359";"1.22";"0.8";"0.11";"14.71";"0.84";"0.0";"132.87";"0.95";"4.43";"1.29";"18.99";"14.86";"29.69";"22.64";"26.07";"2.17";"0.78";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.485";"";"0.7";"NDXm_TICK_UTCPlus02";"M15";"1171.13";"";"1031";"1.14";"0.91";"0.08";"29.28";"0.79";"0.0";"437.62";"0.86";"2.68";"1.2";"19.98";"15.09";"32.83";"25.83";"29.07";"10.0";"0.7";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.505";"";"0.79";"NDXm_TICK_UTCPlus02";"M15";"1467.48";"";"981";"1.17";"1.05";"0.1";"36.69";"0.8";"0.0";"320.72";"0.69";"4.58";"1.26";"25.33";"14.84";"26.23";"19.63";"22.31";"6.06";"0.79";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.489";"";"0.84";"NDXm_TICK_UTCPlus02";"M15";"2792.15";"";"2027";"1.16";"1.5";"0.09";"69.81";"0.88";"0.0";"405.54";"0.75";"6.89";"1.22";"22.66";"14.63";"18.23";"12.68";"15.06";"8.94";"0.84";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.469";"";"0.81";"NDXm_TICK_UTCPlus02";"M15";"2510.22";"";"2308";"1.13";"1.24";"0.07";"62.76";"0.84";"0.0";"469.3";"0.81";"5.35";"1.35";"20.88";"15.0";"23.58";"18.78";"20.93";"14.33";"0.81";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.482";"";"0.82";"NDXm_TICK_UTCPlus02";"M15";"2531.58";"";"2891";"1.12";"1.28";"0.06";"63.29";"0.87";"0.0";"423.31";"1.03";"5.98";"1.14";"16.28";"14.99";"18.48";"15.98";"17.24";"13.89";"0.82";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.506";"";"0.83";"NDXm_TICK_UTCPlus02";"M15";"2289.07";"";"2616";"1.14";"1.37";"0.06";"57.23";"0.82";"0.0";"357.67";"1.32";"6.4";"1.1";"12.74";"14.83";"11.94";"12.53";"12.2";"8.83";"0.83";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.515";"";"0.8";"NDXm_TICK_UTCPlus02";"M15";"2017.94";"";"1780";"1.13";"1.06";"0.08";"50.45";"0.78";"0.0";"389.98";"0.66";"5.17";"1.39";"25.33";"14.77";"22.7";"15.29";"18.23";"11.11";"0.8";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.555";"";"0.67";"NDXm_TICK_UTCPlus02";"M15";"646.12";"";"794";"1.11";"0.65";"0.05";"16.15";"0.78";"0.0";"284.61";"1.04";"2.27";"0.8";"15.89";"14.88";"18.72";"16.72";"17.74";"4.22";"0.67";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
