"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 4.3.394";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"2360.98";"";"576";"1.36";"1.43";"0.17";"1.18";"0.85";"0.0";"358.02";"1.16";"6.59";"1.68";"29.01";"24.73";"7.81";"6.91";"7.39";"0.34";"0.67";"723.46";"";"204";"1.27";"1.23";"0.13";"1.45";"0.66";"0.0";"318.27";"1.15";"2.27";"2.3";"31.16";"28.13";"9.23";"6.35";"7.89";"0.0"
"Strategy 4.3.429";"PASSED";"0.65";"NDXm_TICK_UTCPlus02";"M15";"1422.65";"";"561";"1.12";"0.51";"0.07";"0.71";"0.72";"0.0";"707.6";"0.73";"2.01";"0.5";"55.01";"35.57";"24.46";"16.62";"19.92";"2.98";"0.59";"769.77";"";"211";"1.15";"0.75";"0.09";"1.54";"0.53";"0.0";"536.05";"0.66";"1.44";"1.45";"70.32";"40.45";"19.76";"12.87";"15.61";"0.21"
"Strategy 4.3.438";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"3367.83";"";"1324";"1.12";"0.84";"0.07";"1.68";"0.8";"0.0";"1152.96";"0.8";"2.92";"0.76";"51.92";"36.78";"31.58";"24.25";"27.5";"8.99";"0.8";"2708.48";"";"430";"1.26";"1.76";"0.14";"5.42";"0.65";"0.0";"536.09";"0.83";"5.05";"5.37";"66.99";"44.07";"33.38";"25.65";"29.16";"1.34"
"Strategy 4.3.443";"PASSED";"0.68";"NDXm_TICK_UTCPlus02";"M15";"3515.34";"";"1649";"1.1";"0.84";"0.05";"1.76";"0.84";"0.0";"1472.09";"1.04";"2.39";"0.62";"44.98";"42.25";"35.44";"30.77";"33.14";"8.32";"0.61";"1308.02";"";"471";"1.12";"0.88";"0.06";"2.62";"0.77";"0.0";"842.73";"0.99";"1.55";"1.57";"53.95";"47.75";"44.7";"39.31";"41.99";"2.52"
"Strategy 4.3.453";"PASSED";"0.63";"NDXm_TICK_UTCPlus02";"M15";"2783.85";"";"2123";"1.08";"0.72";"0.04";"1.39";"0.65";"0.0";"1557.88";"1.05";"1.79";"0.47";"34.03";"33.02";"15.36";"13.87";"14.63";"0.97";"0.55";"934.41";"";"658";"1.08";"0.73";"0.04";"1.87";"0.78";"0.0";"816.42";"1.01";"1.14";"1.15";"38.83";"36.22";"16.87";"15.88";"16.38";"0.17"
"Strategy 4.3.455";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"3928.8";"";"1239";"1.23";"1.36";"0.12";"1.96";"0.78";"0.0";"589.07";"0.9";"6.67";"1.75";"36.37";"26.71";"11.09";"9.01";"9.99";"2.1";"0.54";"739.04";"";"442";"1.09";"0.63";"0.05";"1.48";"0.62";"0.0";"719.94";"0.78";"1.03";"1.03";"44.73";"32.01";"15.29";"10.54";"12.62";"0.55"
"Strategy 4.3.490";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"3273.89";"";"723";"1.23";"1.1";"0.13";"1.64";"0.89";"0.0";"509.77";"0.75";"6.42";"1.58";"56.85";"34.75";"29.33";"19.81";"23.89";"0.92";"0.58";"775.01";"";"172";"1.19";"0.79";"0.11";"1.55";"0.55";"0.0";"565.22";"0.76";"1.37";"1.37";"66.43";"42.26";"33.65";"28.06";"30.47";"0.08"
"Strategy 4.3.491";"PASSED";"0.65";"NDXm_TICK_UTCPlus02";"M15";"4308.89";"";"1077";"1.2";"1.1";"0.13";"2.15";"0.76";"0.0";"2131.71";"0.62";"2.02";"0.54";"62.35";"32.01";"28.19";"16.92";"21.22";"3.87";"0.69";"1566.24";"";"384";"1.17";"1.01";"0.11";"3.13";"0.77";"0.0";"622.82";"0.57";"2.51";"2.61";"78.21";"38.45";"33.59";"18.36";"23.91";"1.39"
"Strategy 4.3.500";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"2554.73";"";"762";"1.22";"1.01";"0.12";"1.28";"0.69";"0.0";"561.89";"0.83";"4.55";"1.18";"41.73";"28.4";"16.91";"12.11";"14.29";"1.55";"0.65";"969.52";"";"235";"1.22";"1.08";"0.12";"1.94";"0.67";"0.0";"495.87";"0.79";"1.96";"1.96";"51.99";"33.87";"21.08";"17.08";"18.85";"0.5"
"Strategy 4.3.503";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"1905.84";"";"898";"1.17";"0.83";"0.1";"0.95";"0.84";"0.0";"446.72";"0.68";"4.27";"1.09";"36.4";"21.14";"10.19";"6.89";"8.23";"0.08";"0.56";"541.85";"";"279";"1.15";"0.74";"0.09";"1.08";"0.56";"0.0";"451.39";"0.65";"1.2";"1.2";"38.74";"22.01";"9.9";"6.57";"7.88";"0.0"
"Strategy 4.3.520";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"2106.59";"";"804";"1.17";"0.86";"0.07";"1.05";"0.84";"0.0";"649.61";"1.35";"3.24";"0.83";"31.54";"36.44";"18.23";"18.28";"18.25";"1.85";"0.67";"1020.63";"";"272";"1.21";"1.2";"0.09";"2.04";"0.83";"0.0";"455.51";"1.32";"2.24";"2.29";"37.31";"40.7";"20.63";"22.35";"21.37";"0.59"
"Strategy 4.3.533";"PASSED";"0.59";"NDXm_TICK_UTCPlus02";"M15";"1953.46";"";"989";"1.1";"0.57";"0.05";"0.98";"0.8";"0.0";"1363.08";"0.94";"1.43";"0.37";"45.74";"38.96";"30.19";"26.13";"28.09";"7.69";"0.65";"1101.07";"";"268";"1.17";"0.98";"0.09";"2.2";"0.78";"0.0";"539.02";"0.94";"2.04";"2.12";"57.84";"46.5";"40.1";"33.17";"36.53";"2.61"
"Strategy 4.3.552";"PASSED";"0.7";"NDXm_TICK_UTCPlus02";"M15";"2201.25";"";"915";"1.12";"0.64";"0.07";"1.1";"0.77";"0.0";"803.75";"0.75";"2.74";"0.7";"52.58";"35.04";"31.71";"24.49";"27.58";"4.2";"0.52";"545.98";"";"276";"1.08";"0.44";"0.05";"1.09";"0.67";"0.0";"599.34";"0.65";"0.91";"0.92";"68.31";"41.32";"40.03";"32.29";"35.35";"0.34"
"Strategy 4.3.573";"PASSED";"0.65";"NDXm_TICK_UTCPlus02";"M15";"4479.62";"";"1812";"1.11";"0.88";"0.06";"2.24";"0.74";"0.0";"2197.12";"0.71";"2.04";"0.55";"60.17";"38.37";"34.58";"23.03";"27.82";"12.56";"0.58";"1293.39";"";"605";"1.08";"0.75";"0.05";"2.59";"0.61";"0.0";"964.46";"0.66";"1.34";"1.39";"69.14";"42.22";"36.73";"22.1";"27.93";"4.12"
"Strategy 4.4.347";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"2607.44";"";"700";"1.19";"0.87";"0.1";"1.3";"0.87";"0.0";"826.77";"0.84";"3.15";"0.8";"51.55";"36.55";"39.81";"30.76";"34.9";"7.02";"0.58";"977.55";"";"169";"1.25";"1.12";"0.14";"1.96";"0.69";"0.0";"719.34";"0.86";"1.36";"1.4";"62.54";"42.86";"35.41";"30.8";"32.93";"0.76"
"Strategy 4.4.348";"PASSED";"0.74";"NDXm_TICK_UTCPlus02";"M15";"2092.1";"";"1028";"1.12";"0.69";"0.05";"1.05";"0.76";"0.0";"636.11";"1.19";"3.29";"0.84";"35.87";"38.14";"23.41";"24.12";"23.73";"1.64";"0.52";"553.25";"";"352";"1.07";"0.48";"0.04";"1.11";"0.77";"0.0";"588.93";"1.1";"0.94";"0.95";"43.56";"44.42";"31.08";"30.35";"30.73";"0.08"
"Strategy 4.4.352";"PASSED";"0.46";"NDXm_TICK_UTCPlus02";"M15";"354.95";"";"378";"1.06";"0.14";"0.03";"0.18";"0.65";"0.0";"603.03";"0.74";"0.59";"0.15";"40.68";"28.55";"17.36";"12.92";"14.81";"0.71";"0.57";"557.49";"";"164";"1.18";"0.7";"0.11";"1.11";"0.57";"0.0";"454.09";"0.73";"1.23";"1.22";"52.1";"31.97";"21.01";"15.35";"17.73";"0.63"
"Strategy 4.4.372";"PASSED";"0.7";"NDXm_TICK_UTCPlus02";"M15";"2579.29";"";"947";"1.12";"0.66";"0.07";"1.29";"0.8";"0.0";"977.09";"0.71";"2.64";"0.69";"62.66";"39.61";"48.31";"34.9";"40.45";"11.72";"0.65";"1715.86";"";"275";"1.25";"1.28";"0.14";"3.43";"0.74";"0.0";"876.18";"0.73";"1.96";"1.98";"74.82";"43.8";"45.01";"34.89";"39.16";"1.18"
"Strategy 4.4.416";"PASSED";"0.6";"NDXm_TICK_UTCPlus02";"M15";"2042.63";"";"1467";"1.07";"0.49";"0.04";"1.02";"0.71";"0.0";"1349.81";"0.67";"1.51";"0.39";"54.02";"33.61";"29.61";"21.17";"24.54";"9.33";"0.78";"3031.79";"";"452";"1.29";"1.84";"0.16";"6.06";"0.73";"0.0";"685.54";"0.75";"4.42";"4.73";"70.17";"41.01";"31.35";"23.19";"26.69";"1.47"
"Strategy 4.4.419";"PASSED";"0.7";"NDXm_TICK_UTCPlus02";"M15";"3619.51";"";"1611";"1.13";"0.97";"0.07";"1.81";"0.73";"0.0";"1355.29";"0.9";"2.67";"0.71";"41.55";"33.12";"16.64";"13.3";"14.88";"0.88";"0.54";"838.4";"";"520";"1.08";"0.64";"0.04";"1.68";"0.83";"0.0";"818.13";"0.86";"1.02";"1.03";"47.11";"37.39";"18.08";"14.16";"15.97";"0.08"
"Strategy 4.4.426";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"3488.7";"";"1386";"1.12";"0.85";"0.07";"1.74";"0.79";"0.0";"1346.17";"0.8";"2.59";"0.68";"51.82";"37.04";"31.89";"25.0";"28.06";"10.5";"0.78";"3075.49";"";"440";"1.29";"1.94";"0.16";"6.15";"0.65";"0.0";"720.98";"0.86";"4.27";"4.59";"67.27";"44.64";"32.16";"26.26";"28.98";"1.26"
