datetime,symbol,open,high,low,close,volume
2018-06-27 21:00:00+00:00,NDXm_TICK_UTCPlus02,7101.85,7102.55,7072.85,7093.05,52033
2018-06-27 22:00:00+00:00,NDXm_TICK_UTCPlus02,7092.85,7103.35,7052.200000000001,7052.35,84099
2018-06-27 23:00:00+00:00,NDXm_TICK_UTCPlus02,7052.200000000001,7060.700000000001,7007.200000000001,7023.450000000001,126189
2018-06-28 00:00:00+00:00,NDXm_TICK_UTCPlus02,7022.950000000001,7036.950000000001,7002.950000000001,7008.15,134156
2018-06-28 01:00:00+00:00,NDXm_TICK_UTCPlus02,7008.700000000001,7024.700000000001,6970.200000000001,6971.950000000001,136090
2018-06-28 02:00:00+00:00,NDXm_TICK_UTCPlus02,6973.950000000001,6986.05,6970.450000000001,6980.85,30119
2018-06-28 04:00:00+00:00,NDXm_TICK_UTCPlus02,6981.85,6994.5,6974.0,6988.7,15340
2018-06-28 05:00:00+00:00,NDXm_TICK_UTCPlus02,6989.1,6998.2,6988.35,6993.0,10940
2018-06-28 06:00:00+00:00,NDXm_TICK_UTCPlus02,6992.6,6997.1,6977.7,6988.5,22986
2018-06-28 07:00:00+00:00,NDXm_TICK_UTCPlus02,6988.35,7000.85,6984.6,6998.35,14139
2018-06-28 08:00:00+00:00,NDXm_TICK_UTCPlus02,6998.45,7006.1,6990.85,7000.1,51974
2018-06-28 09:00:00+00:00,NDXm_TICK_UTCPlus02,6999.95,7002.35,6994.25,6999.1,31280
2018-06-28 10:00:00+00:00,NDXm_TICK_UTCPlus02,6998.95,7006.6,6998.95,7003.25,15582
2018-06-28 11:00:00+00:00,NDXm_TICK_UTCPlus02,7003.35,7007.85,6986.1,6986.85,20369
2018-06-28 12:00:00+00:00,NDXm_TICK_UTCPlus02,6985.75,6996.75,6980.35,6985.1,47964
2018-06-28 13:00:00+00:00,NDXm_TICK_UTCPlus02,6984.75,7014.1,6978.45,7008.35,74816
2018-06-28 14:00:00+00:00,NDXm_TICK_UTCPlus02,7008.6,7020.85,6988.75,6998.95,60808
2018-06-28 15:00:00+00:00,NDXm_TICK_UTCPlus02,6999.1,7002.85,6982.1,6995.6,56184
2018-06-28 16:00:00+00:00,NDXm_TICK_UTCPlus02,6995.35,7010.75,6988.6,6995.75,48607
2018-06-28 17:00:00+00:00,NDXm_TICK_UTCPlus02,6995.95,6998.85,6979.85,6989.6,61418
2018-06-28 18:00:00+00:00,NDXm_TICK_UTCPlus02,6989.45,6989.45,6938.35,6948.6,86284
2018-06-28 19:00:00+00:00,NDXm_TICK_UTCPlus02,6948.35,7005.95,6948.35,6994.2,112381
2018-06-28 20:00:00+00:00,NDXm_TICK_UTCPlus02,6995.0,7007.6,6951.25,7006.6,153289
2018-06-28 21:00:00+00:00,NDXm_TICK_UTCPlus02,7007.35,7023.6,6988.25,7011.1,130843
2018-06-28 22:00:00+00:00,NDXm_TICK_UTCPlus02,7011.2,7015.95,6978.95,7001.95,115873
2018-06-28 23:00:00+00:00,NDXm_TICK_UTCPlus02,7002.1,7014.85,6998.45,7011.25,104120
2018-06-29 00:00:00+00:00,NDXm_TICK_UTCPlus02,7010.95,7049.45,7007.95,7049.45,97257
2018-06-29 01:00:00+00:00,NDXm_TICK_UTCPlus02,7049.25,7058.1,7029.75,7034.6,98865
2018-06-29 02:00:00+00:00,NDXm_TICK_UTCPlus02,7034.35,7046.2,7033.25,7040.1,22770
2018-06-29 04:00:00+00:00,NDXm_TICK_UTCPlus02,7040.299999999999,7046.049999999999,7033.549999999999,7034.799999999999,15300
2018-06-29 05:00:00+00:00,NDXm_TICK_UTCPlus02,7034.7,7043.65,7032.799999999999,7043.299999999999,12340
2018-06-29 06:00:00+00:00,NDXm_TICK_UTCPlus02,7044.049999999999,7050.549999999999,7030.45,7035.65,32348
2018-06-29 07:00:00+00:00,NDXm_TICK_UTCPlus02,7035.799999999999,7045.45,7027.799999999999,7037.45,45597
2018-06-29 08:00:00+00:00,NDXm_TICK_UTCPlus02,7038.549999999999,7076.299999999999,7035.049999999999,7075.049999999999,49864
2018-06-29 09:00:00+00:00,NDXm_TICK_UTCPlus02,7075.15,7076.95,7069.049999999999,7073.95,37088
2018-06-29 10:00:00+00:00,NDXm_TICK_UTCPlus02,7074.15,7083.549999999999,7072.45,7074.45,20127
2018-06-29 11:00:00+00:00,NDXm_TICK_UTCPlus02,7074.049999999999,7076.049999999999,7059.95,7073.299999999999,37996
